Id;Marca;Tipo;Capacidad_GB;Velocidad_MHz;Latencia_CAS;Voltaje;RGB;Modulos;Disipador;Precio_USD
1;G,Skill;DDR5;128;5606;34;1,34;True;1;Standard;359,03
2;G,Skill;DDR5;16;6030;36;1,10;False;4;Standard;194,32
3;Teamgroup;DDR5;16;6071;39;1,27;False;4;None;183,29
4;Crucial;DDR5;32;6329;38;1,27;False;1;None;189,72
5;Teamgroup;DDR4;16;2614;22;1,18;True;2;High-End;122,61
6;Teamgroup;DDR5;8;5526;36;1,15;True;1;None;154,32
7;Samsung;DDR4;8;3251;19;1,16;False;4;Standard;122,61
8;Samsung;DDR4;128;2534;20;1,17;True;4;High-End;271,37
9;Crucial;DDR4;8;3616;20;1,30;True;2;None;114,03
10;Samsung;DDR4;8;3151;18;1,14;True;4;None;125,31
11;Kingston;DDR5;64;5625;40;1,39;True;1;Standard;243,41
12;Kingston;DDR5;32;7135;35;1,27;True;4;Standard;242,30
13;Samsung;DDR4;8;3079;14;1,39;True;4;Standard;134,73
14;Corsair;DDR4;32;3349;14;1,42;True;1;Standard;147,69
15;Teamgroup;DDR4;8;2681;21;1,35;False;4;None;111,05
16;G,Skill;DDR4;8;2914;18;1,14;False;4;None;117,41
17;Crucial;DDR4;128;3456;14;1,26;False;1;High-End;263,75
18;Kingston;DDR4;64;2688;19;1,14;True;1;None;169,30
19;Teamgroup;DDR5;16;4954;37;1,13;False;1;None;150,97
20;Kingston;DDR4;128;2753;22;1,40;False;4;None;254,12
21;Teamgroup;DDR4;64;2869;17;1,31;True;1;Standard;177,75
22;Teamgroup;DDR5;16;7060;35;1,28;True;1;None;185,87
23;Crucial;DDR4;64;2536;22;1,19;True;4;None;181,59
24;Corsair;DDR4;128;3673;16;1,22;False;4;None;270,48
25;Samsung;DDR4;64;3101;15;1,12;True;4;None;196,61
26;Samsung;DDR5;8;5644;36;1,42;False;1;Standard;152,89
27;G,Skill;DDR5;16;4850;33;1,13;False;4;High-End;195,75
28;Kingston;DDR4;8;2943;19;1,11;False;1;Standard;102,14
29;Samsung;DDR4;32;3794;22;1,43;True;2;Standard;145,25
30;Teamgroup;DDR5;128;5030;40;1,12;True;2;Standard;348,76
31;Corsair;DDR4;128;2554;16;1,32;False;1;High-End;253,53
32;Crucial;DDR5;128;7018;39;1,13;False;1;Standard;356,05
33;Crucial;DDR4;64;2852;19;1,37;False;4;None;182,62
34;Teamgroup;DDR4;16;3006;17;1,26;True;1;High-End;127,25
35;Crucial;DDR5;64;7736;36;1,44;True;4;None;293,20
36;Kingston;DDR5;128;5325;37;1,44;True;1;High-End;358,02
37;Teamgroup;DDR4;16;3130;15;1,14;False;1;None;115,24
38;Samsung;DDR4;64;2820;21;1,41;False;1;Standard;165,36
39;Kingston;DDR5;8;7946;30;1,32;True;4;High-End;230,40
40;Teamgroup;DDR4;64;3184;19;1,26;True;4;Standard;195,27
41;Kingston;DDR5;128;7522;40;1,34;True;1;None;362,17
42;Kingston;DDR5;64;7641;35;1,44;False;4;Standard;291,50
43;G,Skill;DDR5;8;5134;32;1,32;False;1;High-End;163,58
44;G,Skill;DDR4;128;3265;18;1,45;False;1;None;246,22
45;Corsair;DDR4;64;3608;19;1,40;False;2;Standard;180,66
46;Samsung;DDR5;128;6930;33;1,36;True;4;None;394,25
47;Samsung;DDR5;128;6976;33;1,30;False;4;None;386,65
48;Corsair;DDR4;16;3267;22;1,43;False;4;None;123,84
49;G,Skill;DDR5;64;4931;30;1,27;False;4;None;266,96
50;Corsair;DDR5;32;7736;33;1,23;True;1;High-End;236,64
51;Crucial;DDR4;64;3885;17;1,44;False;2;None;181,88
52;G,Skill;DDR5;128;5248;37;1,38;False;1;None;335,59
53;Kingston;DDR5;16;5923;31;1,13;True;4;Standard;211,39
54;Kingston;DDR4;64;2741;15;1,39;False;2;None;175,73
55;Kingston;DDR5;64;5949;35;1,37;False;4;High-End;281,33
56;Samsung;DDR5;16;6157;30;1,45;False;2;High-End;199,74
57;Samsung;DDR5;32;4940;32;1,21;True;4;Standard;224,67
58;Crucial;DDR4;32;2975;15;1,40;False;1;High-End;143,20
59;Corsair;DDR4;64;2912;16;1,25;False;2;High-End;185,60
60;Kingston;DDR4;16;3433;19;1,10;False;1;High-End;121,66
61;G,Skill;DDR5;128;6639;31;1,40;True;4;None;395,16
62;Teamgroup;DDR4;128;3053;18;1,36;True;1;Standard;254,52
63;Kingston;DDR4;8;3455;22;1,33;False;4;High-End;125,74
64;Kingston;DDR4;64;3345;14;1,35;True;1;None;182,06
65;G,Skill;DDR5;128;7071;38;1,41;True;4;Standard;391,05
66;G,Skill;DDR4;64;3393;21;1,28;True;1;None;171,94
67;Crucial;DDR5;128;5765;37;1,34;True;2;None;357,37
68;Teamgroup;DDR5;64;7426;32;1,43;False;4;Standard;295,26
69;G,Skill;DDR4;128;3337;22;1,20;False;2;High-End;256,80
70;Corsair;DDR5;128;6959;40;1,45;True;1;None;356,09
71;Kingston;DDR5;32;5674;39;1,38;True;4;None;213,02
72;Kingston;DDR5;64;4841;33;1,44;False;2;Standard;249,11
73;Corsair;DDR4;32;3666;22;1,27;True;4;High-End;162,23
74;G,Skill;DDR4;16;3583;19;1,30;False;2;None;118,86
75;Kingston;DDR4;8;3531;21;1,21;False;1;High-End;109,85
76;G,Skill;DDR5;128;7745;30;1,15;False;1;None;376,73
77;Teamgroup;DDR4;8;3163;17;1,44;True;2;None;114,90
78;Kingston;DDR5;32;7352;40;1,25;False;1;None;196,72
79;Corsair;DDR4;64;2760;15;1,18;False;1;None;169,88
80;Crucial;DDR5;32;7090;34;1,44;False;1;High-End;219,54
81;Crucial;DDR4;128;3792;18;1,14;True;1;High-End;266,44
82;G,Skill;DDR5;64;5552;31;1,22;True;1;High-End;268,94
83;Samsung;DDR4;128;2954;17;1,31;False;1;None;245,23
84;Samsung;DDR5;32;7716;32;1,14;False;1;None;216,85
85;Samsung;DDR4;8;2661;21;1,42;True;4;None;116,89
86;Corsair;DDR5;8;5094;38;1,15;True;2;Standard;159,10
87;Crucial;DDR4;32;2478;22;1,14;False;1;None;118,72
88;Samsung;DDR4;64;3067;21;1,25;True;4;Standard;191,34
89;Kingston;DDR5;8;6303;31;1,30;True;4;None;197,13
90;Teamgroup;DDR5;16;7609;40;1,35;False;1;Standard;178,97
91;Corsair;DDR5;32;7716;34;1,25;True;4;High-End;258,70
92;Teamgroup;DDR4;16;2642;20;1,31;True;4;None;127,84
93;G,Skill;DDR4;128;3031;21;1,43;True;1;High-End;255,85
94;Crucial;DDR5;32;5262;39;1,11;False;4;Standard;205,87
95;G,Skill;DDR4;64;2685;14;1,30;True;4;Standard;198,78
96;Samsung;DDR5;8;5177;32;1,11;True;2;Standard;172,15
97;Kingston;DDR5;32;7622;39;1,36;True;4;High-End;247,56
98;G,Skill;DDR5;8;7332;33;1,27;False;1;Standard;177,20
99;Kingston;DDR5;64;5932;36;1,25;False;1;High-End;254,82
100;G,Skill;DDR4;128;2527;15;1,34;True;1;High-End;260,82
101;Kingston;DDR5;16;7616;31;1,14;True;4;None;224,27
102;Samsung;DDR5;64;6699;30;1,32;False;4;Standard;291,45
103;Samsung;DDR5;128;6324;39;1,43;True;2;None;359,36
104;Samsung;DDR5;16;5996;39;1,28;True;4;High-End;204,08
105;Teamgroup;DDR4;8;3756;16;1,18;False;1;Standard;113,15
106;Kingston;DDR5;128;6473;39;1,18;False;2;None;352,87
107;Teamgroup;DDR4;32;3562;17;1,30;True;1;High-End;150,90
108;Samsung;DDR5;8;6433;36;1,43;False;1;None;156,01
109;Crucial;DDR4;8;2841;19;1,12;True;4;Standard;125,33
110;Kingston;DDR5;16;6140;32;1,42;False;1;High-End;187,41
111;Samsung;DDR4;128;3618;21;1,29;False;1;Standard;248,54
112;Corsair;DDR5;8;5347;31;1,15;True;4;High-End;200,31
113;Kingston;DDR5;32;6102;31;1,39;True;2;None;217,64
114;Kingston;DDR4;16;3045;18;1,29;False;4;High-End;138,06
115;Kingston;DDR4;32;3111;22;1,19;False;2;None;129,79
116;Corsair;DDR5;128;4950;35;1,30;True;1;High-End;358,02
117;Crucial;DDR5;64;5778;37;1,17;True;2;High-End;267,33
118;Kingston;DDR5;64;7197;37;1,14;True;2;None;269,16
119;Corsair;DDR5;64;4853;36;1,34;False;1;None;229,67
120;Kingston;DDR4;8;2453;14;1,29;False;2;High-End;117,72
121;Corsair;DDR5;8;5775;38;1,17;True;1;None;152,96
122;Kingston;DDR4;64;3029;14;1,19;True;4;High-End;207,53
123;Crucial;DDR5;8;7874;33;1,31;False;4;Standard;207,35
124;G,Skill;DDR4;8;3024;19;1,32;True;4;Standard;126,79
125;Teamgroup;DDR4;128;3785;20;1,10;False;4;High-End;275,38
126;Samsung;DDR4;128;3868;18;1,28;False;4;None;269,04
127;Teamgroup;DDR5;8;5130;35;1,36;True;2;High-End;173,66
128;G,Skill;DDR5;16;7541;31;1,33;False;4;High-End;228,86
129;G,Skill;DDR5;16;7626;30;1,22;False;4;High-End;231,81
130;Samsung;DDR4;128;3384;19;1,25;True;1;Standard;255,67
131;Kingston;DDR5;128;6507;33;1,42;True;2;Standard;378,89
132;Corsair;DDR4;64;2769;15;1,18;True;4;High-End;203,95
133;Teamgroup;DDR4;128;3820;21;1,32;True;2;High-End;268,16
134;Samsung;DDR4;64;3435;19;1,45;True;4;High-End;203,28
135;Corsair;DDR5;32;7543;36;1,13;True;2;None;223,08
136;Samsung;DDR4;32;3815;17;1,15;True;1;High-End;152,92
137;Teamgroup;DDR5;128;5935;35;1,40;True;1;None;355,16
138;Corsair;DDR4;16;3065;21;1,20;False;1;Standard;109,72
139;Corsair;DDR5;32;6984;30;1,30;True;2;Standard;234,59
140;Corsair;DDR4;8;3313;22;1,20;True;2;None;108,60
141;G,Skill;DDR4;64;2572;15;1,43;True;1;None;174,38
142;Corsair;DDR5;8;5800;37;1,41;False;4;Standard;176,85
143;Teamgroup;DDR4;64;3872;19;1,31;True;1;Standard;182,78
144;G,Skill;DDR5;8;6802;35;1,36;False;1;Standard;167,42
145;G,Skill;DDR5;64;6942;37;1,26;False;4;High-End;288,00
146;Corsair;DDR4;64;2626;19;1,11;True;1;Standard;172,81
147;G,Skill;DDR5;8;7556;34;1,20;True;1;High-End;193,79
148;G,Skill;DDR4;64;2953;15;1,27;True;1;Standard;181,42
149;Crucial;DDR4;8;3735;22;1,11;True;4;None;123,98
150;Corsair;DDR4;32;2539;22;1,42;False;1;None;119,21
151;Teamgroup;DDR5;128;7383;40;1,37;True;2;Standard;374,17
152;Samsung;DDR4;128;3692;17;1,16;True;4;Standard;279,14
153;G,Skill;DDR4;64;2482;21;1,29;True;2;High-End;180,66
154;Samsung;DDR5;16;7695;32;1,20;True;2;None;206,90
155;Crucial;DDR4;32;2496;21;1,16;False;4;High-End;148,37
156;Teamgroup;DDR5;16;6655;38;1,15;False;4;None;191,62
157;G,Skill;DDR4;64;3326;22;1,21;True;2;High-End;185,91
158;Crucial;DDR5;64;5659;34;1,15;False;1;None;242,42
159;Corsair;DDR5;64;5037;34;1,21;True;1;Standard;249,20
160;Samsung;DDR5;8;6244;34;1,41;True;2;High-End;187,72
161;Teamgroup;DDR4;32;3018;18;1,42;False;1;Standard;133,04
162;G,Skill;DDR5;64;7092;40;1,30;True;1;High-End;267,35
163;Kingston;DDR4;16;3125;17;1,10;False;4;None;130,20
164;Samsung;DDR4;128;3484;15;1,24;False;4;Standard;274,47
165;Kingston;DDR4;32;2876;17;1,42;False;2;Standard;139,41
166;Crucial;DDR5;64;6018;36;1,11;False;1;None;242,25
167;Kingston;DDR5;8;7545;40;1,13;False;4;High-End;197,72
168;Samsung;DDR4;16;3577;21;1,26;True;1;None;115,82
169;G,Skill;DDR4;32;3402;17;1,37;False;1;High-End;143,62
170;Corsair;DDR4;16;3164;22;1,18;True;2;High-End;127,01
171;Samsung;DDR5;64;6630;31;1,21;True;4;Standard;296,78
172;Samsung;DDR4;64;2688;14;1,34;False;2;High-End;186,80
173;Samsung;DDR5;8;5193;33;1,23;True;4;Standard;186,49
174;Kingston;DDR5;64;7553;32;1,19;False;1;High-End;280,43
